Time,Length_40,Length_60,Length_80,Length_100
0.0001,0.002,0.002,0.002,0.002
0.001,0.0237,0.0022,0.0041,0.0097
0.002,0.0282,0.0084,0.0101,0.0162
0.003,0.0306,0.0413,0.0186,0.0064
0.004,0.0331,0.0133,0.0026,0.0181
0.005,0.0216,0.0033,0.0276,0.0138
0.006,0.0124,0.0076,0.0074,0.0117
0.007,0.0018,0.0205,0.0188,0.0028
0.008,0.0041,0.0296,0.015,0.0045
0.009,0.0315,0.0499,0.0167,0.0081
0.01,0.0334,0.0057,0.0136,0.0119
0.011,0.0415,0.008,0.0242,0.0088
0.012,0.0279,0.0031,0.0144,0.0025
0.013,0.028,0.0057,0.0206,0.0343
0.014,0.0096,0.0048,0.0285,0.0291
0.015,0.0031,0.0283,0.0157,0.0297
0.016,0.011,0.0465,0.0149,0.0094
0.017,0.0327,0.0091,0.0147,0.0045
0.018,0.0132,0.0238,0.0407,0.0221
0.019,0.0248,0.0053,0.0105,0.0126
0.02,0.0321,0.0081,0.0176,0.0267
